,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
0,"""BR""","""1""","""Brasil""","""7004141000""","""7389131000""","""7609597000""","""9012142000"""
1,"""UF""","""11""","""Rondônia""","""44913978""","""47091336""","""51598741""","""58170096"""
2,"""UF""","""12""","""Acre""","""15331123""","""15630017""","""16476371""","""21374440"""
3,"""UF""","""13""","""Amazonas""","""100109235""","""108181091""","""116019139""","""131531038"""
4,"""UF""","""14""","""Roraima""","""13369988""","""14292227""","""16024276""","""18202579"""
5,"""UF""","""15""","""Pará""","""161349602""","""178376984""","""215935604""","""262904979"""
6,"""UF""","""16""","""Amapá""","""16795207""","""17496661""","""18469115""","""20099851"""
7,"""UF""","""17""","""Tocantins""","""35666183""","""39355941""","""43649803""","""51780764"""
8,"""UF""","""21""","""Maranhão""","""98179496""","""97339938""","""106915962""","""124980720"""
9,"""UF""","""22""","""Piauí""","""50378418""","""52780785""","""56391257""","""64028303"""
10,"""UF""","""23""","""Ceará""","""155903825""","""163575327""","""166914536""","""194884802"""
11,"""UF""","""24""","""Rio Grande do Norte""","""66969562""","""71336780""","""71577107""","""80180733"""
12,"""UF""","""25""","""Paraíba""","""64373595""","""67986074""","""70292034""","""77470331"""
13,"""UF""","""26""","""Pernambuco""","""186351975""","""197853378""","""193307317""","""220813522"""
14,"""UF""","""27""","""Alagoas""","""54413047""","""58963729""","""63202349""","""76265620"""
15,"""UF""","""28""","""Sergipe""","""42017981""","""44689483""","""45409657""","""51861397"""
16,"""UF""","""29""","""Bahia""","""286239541""","""293240504""","""305320813""","""352617852"""
17,"""UF""","""31""","""Minas Gerais""","""614875820""","""651872684""","""682786116""","""857593214"""
18,"""UF""","""32""","""Espírito Santo""","""137020055""","""137345595""","""138445922""","""186336505"""
19,"""UF""","""33""","""Rio de Janeiro""","""758859047""","""779927917""","""753823711""","""949300770"""
20,"""UF""","""35""","""São Paulo""","""2210561949""","""2348338000""","""2377638980""","""2719751231"""
21,"""UF""","""41""","""Paraná""","""440029403""","""466377036""","""487930594""","""549973062"""
22,"""UF""","""42""","""Santa Catarina""","""298227090""","""323263857""","""349275016""","""428570889"""
23,"""UF""","""43""","""Rio Grande do Sul""","""457293958""","""482464177""","""470941846""","""581283677"""
